MTV-1,#genre#
姜育恒-再回首,http://em.21dtv.com/songs/60056761.mkv
姜育恒-再回首(演唱会),http://em.21dtv.com/songs/60056760.mkv
张敬轩-断点,http://em.21dtv.com/songs/60015919.mkv
张敬轩-断点(演唱会),http://em.21dtv.com/songs/60015918.mkv
凤凰传奇-奢香夫人,http://em.21dtv.com/songs/60038186.mkv
邓紫棋-夜空中最亮的星,http://em.21dtv.com/songs/60124543.mkv
王金金-爱似水仙,http://em.21dtv.com/songs/60131680.mkv
金海心-爱似水仙,http://em.21dtv.com/songs/60008755.mkv
张卫健-你爱我像谁(演唱会),http://em.21dtv.com/songs/60083487.mkv
张卫健-你爱我像谁,http://em.21dtv.com/songs/60031411.mkv
王力宏-大城小爱,http://em.21dtv.com/songs/60013865.mkv
BEYOND-光辉岁月,http://em.21dtv.com/songs/60019287.mkv
Beyond-不再犹豫,http://em.21dtv.com/songs/60117435.mkv
BEYOND-喜欢你(演唱会),http://em.21dtv.com/songs/60048124.mkv
BEYOND-冷雨夜(演唱会),http://em.21dtv.com/songs/60026625.mkv
BEYOND-情人,http://em.21dtv.com/songs/60035167.mkv
BEYOND-大地,http://em.21dtv.com/songs/60013887.mkv
BEYOND-海阔天空(演唱会),http://em.21dtv.com/songs/60019748.mkv
BEYOND-光辉岁月,http://em.21dtv.com/songs/60019287.mkv
刀郎-冲动的惩罚,http://em.21dtv.com/songs/60012854.mkv
刀郎-情人,http://em.21dtv.com/songs/60035168.mkv
罗大佑-童年(演唱会),http://em.21dtv.com/songs/60042747.mkv
光良-童话,http://em.21dtv.com/songs/60042729.mkv
林宥嘉-你是我的眼,http://em.21dtv.com/songs/60032125.mkv
张韶涵-遗失的美好,http://em.21dtv.com/songs/60116816.mkv
张宇-趁早,http://em.21dtv.com/songs/60012538.mkv
张惠妹-趁早,http://em.21dtv.com/songs/60012537.mkv
杨坤-站台,http://em.21dtv.com/songs/60057510.mkv
郑秀文-值得,http://em.21dtv.com/songs/60058751.mkv
林忆莲-至少还有你,http://em.21dtv.com/songs/60058815.mkv
伍佰-突然的自我(演唱会),http://em.21dtv.com/songs/60042927.mkv
王心凌-第一次爱的人,http://em.21dtv.com/songs/60015240.mkv
刘德华-练习,http://em.21dtv.com/songs/60026977.mkv
江映蓉-牵手,http://em.21dtv.com/songs/60166287.mkv
李殊-烟雨唱扬州,http://em.21dtv.com/songs/60088023.mkv
林忆莲+李宗盛-当爱已成往事,http://em.21dtv.com/songs/60014496.mkv
田馥甄-小幸运(HD),http://em.21dtv.com/songs/60134028.mkv
周深-大鱼,http://em.21dtv.com/songs/60135053.mkv
邓紫琪-囚鸟,http://em.21dtv.com/songs/60077293.mkv
辛晓琪-味道,http://em.21dtv.com/songs/60132944.mkv
