
央视,#genre#
CCTV-1,http://www.dsk.cc/php/jzb.php?id=cctv1
CCTV-2,http://www.dsk.cc/php/jzb.php?id=cctv2
CCTV-3,http://www.dsk.cc/php/jzb.php?id=cctv3
CCTV-4,http://www.dsk.cc/php/jzb.php?id=cctv4
CCTV-4欧洲,http://www.dsk.cc/php/jzb.php?id=cctv4o
CCTV-4美州,http://www.dsk.cc/php/jzb.php?id=cctv4a
CCTV-5,http://www.dsk.cc/php/jzb.php?id=cctv5
CCTV-5+,http://www.dsk.cc/php/jzb.php?id=cctv5p
CCTV-6,http://www.dsk.cc/php/jzb.php?id=cctv6
CCTV-7,http://www.dsk.cc/php/jzb.php?id=cctv7
CCTV-8,http://www.dsk.cc/php/jzb.php?id=cctv8
CCTV-9,http://www.dsk.cc/php/jzb.php?id=cctv9
CCTV-10,http://www.dsk.cc/php/jzb.php?id=cctv10
CCTV-11,http://www.dsk.cc/php/jzb.php?id=cctv11
CCTV-12,http://www.dsk.cc/php/jzb.php?id=cctv12
CCTV-13,http://www.dsk.cc/php/jzb.php?id=cctv13
CCTV-14,http://www.dsk.cc/php/jzb.php?id=cctv14
CCTV-15,http://www.dsk.cc/php/jzb.php?id=cctv15
CCTV-16,http://www.dsk.cc/php/jzb.php?id=cctv16
CCTV-17,http://www.dsk.cc/php/jzb.php?id=cctv17
CCTV-4K,http://www.dsk.cc/php/jzb.php?id=cctv4k
卫视,#genre#
东方卫视,http://www.dsk.cc/php/jzb.php?id=dfws
北京卫视,http://www.dsk.cc/php/jzb.php?id=bjws
天津卫视,http://www.dsk.cc/php/jzb.php?id=tjws
重庆卫视,,http://www.dsk.cc/php/jzb.php?id=cqws
黑龙江卫视,,http://www.dsk.cc/php/jzb.php?id=hljws
吉林卫视,,http://www.dsk.cc/php/jzb.php?id=jlws
延边卫视,http://www.dsk.cc/php/jzb.php?id=ybws
辽宁卫视,http://www.dsk.cc/php/jzb.php?id=lnws
内蒙古卫视,http://www.dsk.cc/php/jzb.php?id=nmws
内蒙古蒙语卫视,http://www.dsk.cc/php/jzb.php?id=myws
宁夏卫视,http://www.dsk.cc/php/jzb.php?id=nxws
甘肃卫视,http://www.dsk.cc/php/jzb.php?id=gsws
青海卫视,http://www.dsk.cc/php/jzb.php?id=qhws
安多卫视,http://www.dsk.cc/php/jzb.php?id=adws
陕西卫视,http://www.dsk.cc/php/jzb.php?id=sxws
农林卫视,http://www.dsk.cc/php/jzb.php?id=nlws
河北卫视,http://www.dsk.cc/php/jzb.php?id=hbws
山西卫视,http://www.dsk.cc/php/jzb.php?id=sxiws
山东卫视,http://www.dsk.cc/php/jzb.php?id=sdws
安徽卫视,http://www.dsk.cc/php/jzb.php?id=ahws
河南卫视,http://www.dsk.cc/php/jzb.php?id=hnws
湖北卫视,http://www.dsk.cc/php/jzb.php?id=hubws
湖南卫视,http://www.dsk.cc/php/jzb.php?id=hunws
江西卫视,http://www.dsk.cc/php/jzb.php?id=jxws
江苏卫视,http://www.dsk.cc/php/jzb.php?id=jsws
浙江卫视,http://www.dsk.cc/php/jzb.php?id=zjws
东南卫视,http://www.dsk.cc/php/jzb.php?id=dnws
厦门卫视,http://www.dsk.cc/php/jzb.php?id=xmws
海峡卫视,http://www.dsk.cc/php/jzb.php?id=hxws
广东卫视,http://www.dsk.cc/php/jzb.php?id=gdws
深圳卫视,http://www.dsk.cc/php/jzb.php?id=szws
大湾区卫视,http://www.dsk.cc/php/jzb.php?id=dwqws
大湾区卫视(海外版),http://www.dsk.cc/php/jzb.php?id=dwqws2
广西卫视,http://www.dsk.cc/php/jzb.php?id=gxws
云南卫视,http://www.dsk.cc/php/jzb.php?id=ynws
贵州卫视,http://www.dsk.cc/php/jzb.php?id=gzws
四川卫视,http://www.dsk.cc/php/jzb.php?id=scws
康巴卫视,http://www.dsk.cc/php/jzb.php?id=kbws
新疆卫视,http://www.dsk.cc/php/jzb.php?id=xjws
兵团卫视,http://www.dsk.cc/php/jzb.php?id=btws
西藏卫视,http://www.dsk.cc/php/jzb.php?id=xzws
西藏藏语卫视,http://www.dsk.cc/php/jzb.php?id=zyws
海南卫视,http://www.dsk.cc/php/jzb.php?id=hinws
三沙卫视,http://www.dsk.cc/php/jzb.php?id=ssws
中国教育电视台,#genre#
CETV-1,http://www.dsk.cc/php/jzb.php?id=cetv1
CETV-2,http://www.dsk.cc/php/jzb.php?id=cetv2
CETV-3,http://www.dsk.cc/php/jzb.php?id=cetv3
CETV-4,http://www.dsk.cc/php/jzb.php?id=cetv4
浏阳电视台,#genre#
浏阳新闻,http://www.dsk.cc/php/jzb.php?id=huncslyxw
